Auto Gain Control OFF,IR PA (mA)=10,Red PA (mA)=10,Sample Rate (Hz)=100,Pulse Width (usec)=400,FIFO Almost Full=17,FIFO Rolls on Full=Not Checked,Sample Averaging=1
IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
155894,139488,--,0.925,0.308,-0.207,0.0,0,98.5,3
172248,155898,--,0.925,0.308,-0.207,0.0,0,98.5,3
188627,172211,--,0.925,0.308,-0.207,0.0,0,98.5,3
205049,188643,--,0.926,0.308,-0.206,0.0,0,98.5,3
221414,205060,--,0.926,0.308,-0.206,0.0,0,98.5,3
237801,221427,--,0.926,0.308,-0.206,0.0,0,98.5,3
254170,226476,--,0.926,0.308,-0.206,0.0,0,98.5,3
262143,226473,--,0.925,0.308,-0.208,0.0,0,98.5,3
262143,226463,--,0.925,0.308,-0.208,0.0,0,98.5,3
262143,226457,--,0.925,0.308,-0.208,0.0,0,98.5,3
262143,226461,--,0.925,0.308,-0.208,0.0,0,98.5,3
262143,226454,--,0.928,0.307,-0.207,0.0,0,98.5,3
262143,226459,--,0.931,0.306,-0.204,0.0,0,98.5,3
262143,226439,--,0.932,0.306,-0.200,0.0,0,98.5,3
262143,226439,--,0.929,0.307,-0.200,0.0,0,98.5,3
262143,226411,--,0.924,0.308,-0.202,0.0,0,98.5,3
262143,226381,--,0.925,0.308,-0.204,0.0,0,98.5,3
262143,226346,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226329,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226317,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226286,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226262,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226221,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226207,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226185,--,0.929,0.306,-0.203,0.0,0,98.5,3
262143,226154,--,0.925,0.306,-0.207,0.0,0,98.5,3
262143,226142,--,0.925,0.306,-0.207,0.0,0,98.5,3
262143,226135,--,0.925,0.306,-0.207,0.0,0,98.5,3
262143,226139,--,0.925,0.306,-0.207,0.0,0,98.5,3
229376,226133,--,0.925,0.306,-0.207,0.0,0,98.5,3
180224,226145,--,0.926,0.306,-0.205,0.0,0,98.5,3
166671,226147,--,0.927,0.306,-0.204,0.0,0,98.5,3
166678,226153,--,0.927,0.306,-0.205,0.0,0,98.5,3
166688,226156,--,0.929,0.305,-0.207,0.0,0,98.5,3
166688,226156,--,0.931,0.305,-0.205,0.0,0,98.5,3
166696,226161,--,0.931,0.305,-0.205,0.0,0,98.5,3
166708,226165,--,0.927,0.307,-0.204,0.0,0,98.5,3
166712,226163,--,0.927,0.307,-0.204,0.0,0,98.5,3
166717,226168,--,0.927,0.307,-0.204,0.0,0,98.5,3
166714,226161,--,0.927,0.307,-0.204,0.0,0,98.5,3
166720,226160,--,0.923,0.309,-0.206,0.0,0,98.5,3
166735,226153,--,0.923,0.309,-0.206,0.0,0,98.5,3
166730,226160,--,0.923,0.309,-0.206,0.0,0,98.5,3
166737,226159,--,0.923,0.309,-0.206,0.0,0,98.5,3
166747,226166,--,0.924,0.308,-0.208,0.0,0,98.5,3
166759,226163,--,0.924,0.308,-0.208,0.0,0,98.5,3
166769,226182,--,0.926,0.307,-0.209,0.0,0,98.5,3
166769,226185,--,0.925,0.307,-0.211,0.0,0,98.5,3
166778,226191,--,0.924,0.307,-0.211,0.0,0,98.5,3
166784,226185,--,0.927,0.307,-0.209,0.0,0,98.5,3
166780,226187,--,0.928,0.307,-0.208,0.0,0,98.5,3
166771,226177,--,0.927,0.307,-0.208,0.0,0,98.5,3
166774,226189,--,0.927,0.307,-0.208,0.0,0,98.5,3
166782,226182,--,0.927,0.307,-0.208,0.0,0,98.5,3
166772,226177,--,0.927,0.307,-0.208,0.0,0,98.5,3
166783,226177,--,0.926,0.307,-0.209,0.0,0,98.5,3
166779,226172,--,0.926,0.307,-0.209,0.0,0,98.5,3
166791,226178,--,0.926,0.307,-0.209,0.0,0,98.5,3
166796,226185,--,0.926,0.307,-0.209,0.0,0,98.5,3
166795,226184,--,0.927,0.307,-0.210,0.0,0,98.5,3
166796,226165,--,0.927,0.307,-0.210,0.0,0,98.5,3
166802,226164,--,0.927,0.307,-0.210,0.0,0,0.0,3
166801,226158,--,0.927,0.307,-0.210,0.0,0,0.0,3
166815,226166,--,0.926,0.307,-0.210,0.0,0,0.0,3
166826,226179,--,0.926,0.308,-0.210,0.0,0,0.0,3
166848,226186,--,0.926,0.308,-0.210,0.0,0,0.0,3
166860,226207,--,0.927,0.307,-0.210,0.0,0,0.0,3
166882,226209,--,0.927,0.307,-0.210,0.0,0,0.0,3
166889,226205,--,0.927,0.307,-0.210,0.0,0,0.0,3
166892,226206,--,0.927,0.307,-0.210,0.0,0,0.0,3
166896,226195,--,0.927,0.306,-0.210,0.0,0,0.0,3
166900,226189,--,0.927,0.306,-0.210,0.0,0,0.0,3
166908,226195,--,0.927,0.306,-0.210,0.0,0,0.0,3
166917,226208,--,0.927,0.306,-0.210,0.0,0,0.0,3
166916,226208,--,0.926,0.306,-0.212,0.0,0,0.0,3
166931,226220,--,0.926,0.306,-0.212,0.0,0,0.0,3
166940,226216,--,0.926,0.306,-0.212,0.0,0,0.0,3
166960,226231,--,0.926,0.306,-0.212,0.0,0,0.0,3
166983,226231,--,0.927,0.306,-0.210,0.0,0,0.0,3
166982,226246,--,0.927,0.306,-0.210,0.0,0,0.0,3
166989,226236,--,0.928,0.306,-0.208,0.0,0,0.0,3
166987,226238,--,0.926,0.307,-0.210,0.0,0,0.0,3
166996,226236,--,0.925,0.307,-0.212,0.0,0,0.0,3
166996,226225,--,0.924,0.307,-0.212,0.0,0,0.0,3
166996,226231,--,0.924,0.308,-0.213,0.0,0,0.0,3
166998,226211,--,0.927,0.308,-0.212,0.0,0,0.0,3
167008,226228,--,0.927,0.308,-0.212,0.0,0,0.0,3
167014,226230,--,0.927,0.308,-0.212,0.0,0,0.0,3
167037,226234,--,0.927,0.308,-0.210,0.0,0,0.0,3
167051,226251,--,0.927,0.308,-0.210,0.0,0,0.0,3
167059,226255,--,0.927,0.308,-0.210,0.0,0,0.0,3
167044,226249,--,0.927,0.308,-0.210,0.0,0,0.0,3
167041,226238,--,0.927,0.309,-0.208,0.0,0,0.0,3
167030,226225,--,0.927,0.309,-0.208,0.0,0,0.0,3
167007,226221,--,0.927,0.309,-0.208,0.0,0,0.0,3
166966,226178,--,0.927,0.309,-0.208,0.0,0,0.0,3
166916,226163,--,0.926,0.310,-0.209,0.0,0,0.0,3
166861,226124,--,0.927,0.309,-0.210,0.0,0,0.0,3
166816,226094,--,0.927,0.308,-0.211,0.0,0,0.0,3
166788,226063,--,0.925,0.308,-0.212,0.0,0,0.0,3
166743,226043,--,0.927,0.308,-0.211,0.0,0,0.0,3
166715,226027,--,0.928,0.309,-0.208,0.0,0,0.0,3
166693,226006,--,0.928,0.309,-0.208,0.0,0,0.0,3
166677,225995,--,0.925,0.310,-0.208,0.0,0,0.0,3
166656,225986,--,0.925,0.310,-0.208,0.0,0,0.0,3
166672,225984,--,0.925,0.310,-0.208,0.0,0,0.0,3
166671,225990,--,0.925,0.310,-0.208,0.0,0,0.0,3
166692,225996,--,0.924,0.310,-0.208,0.0,0,0.0,3
166698,226007,--,0.924,0.310,-0.208,0.0,0,0.0,3
166724,226004,--,0.924,0.310,-0.208,0.0,0,0.0,3
166716,225990,--,0.924,0.310,-0.208,0.0,0,0.0,3
166720,226006,--,0.926,0.309,-0.208,0.0,0,0.0,3
166722,225997,--,0.926,0.309,-0.208,0.0,0,0.0,3
166729,226000,--,0.926,0.309,-0.208,0.0,0,0.0,3
166722,225986,--,0.928,0.308,-0.208,0.0,0,0.0,3
166726,225973,--,0.928,0.308,-0.206,0.0,0,0.0,3
166722,225978,--,0.925,0.308,-0.206,0.0,0,0.0,3
166738,225984,--,0.923,0.309,-0.209,0.0,0,0.0,3
166754,225989,--,0.925,0.308,-0.209,0.0,0,0.0,3
166760,225992,--,0.926,0.308,-0.208,0.0,0,0.0,3
166769,225976,--,0.926,0.308,-0.208,0.0,0,0.0,3
166784,225990,--,0.926,0.308,-0.208,0.0,0,0.0,3
166784,225984,--,0.925,0.308,-0.209,0.0,0,0.0,3
166800,225988,--,0.925,0.308,-0.209,0.0,0,0.0,3
166809,225984,--,0.925,0.308,-0.209,0.0,0,0.0,3
166821,225997,--,0.925,0.308,-0.209,0.0,0,0.0,3
166809,225997,--,0.925,0.308,-0.210,0.0,0,0.0,3
166812,225997,--,0.925,0.308,-0.210,0.0,0,0.0,3
166818,225989,--,0.925,0.308,-0.210,0.0,0,0.0,3
166801,225976,--,0.925,0.308,-0.210,0.0,0,0.0,3
166809,225987,--,0.926,0.308,-0.209,0.0,0,0.0,3
166825,226001,--,0.928,0.309,-0.207,0.0,0,0.0,3
166826,225983,--,0.928,0.309,-0.208,0.0,0,0.0,3
166833,226001,--,0.926,0.309,-0.210,0.0,0,0.0,3
166845,226011,--,0.927,0.309,-0.209,0.0,0,0.0,3
166846,225991,--,0.928,0.308,-0.208,0.0,0,0.0,3
166854,226009,--,0.925,0.309,-0.208,0.0,0,0.0,3
166867,226015,--,0.925,0.309,-0.208,0.0,0,0.0,3
166871,226015,--,0.925,0.309,-0.208,0.0,0,0.0,3
166871,226011,--,0.925,0.309,-0.208,0.0,0,0.0,3
166874,226003,--,0.923,0.310,-0.208,0.0,0,0.0,3
166865,225990,--,0.923,0.310,-0.208,0.0,0,0.0,3
166853,225972,--,0.923,0.310,-0.208,0.0,0,0.0,3
166847,225963,--,0.923,0.310,-0.208,0.0,0,0.0,3
166842,225955,--,0.926,0.310,-0.207,0.0,0,0.0,3
166863,225964,--,0.926,0.310,-0.207,0.0,0,0.0,3
166883,225975,--,0.926,0.310,-0.207,0.0,0,0.0,3
166901,225985,--,0.926,0.310,-0.207,0.0,0,0.0,3
166920,225992,--,0.929,0.309,-0.205,0.0,0,0.0,3
166940,225991,--,0.927,0.308,-0.206,0.0,0,0.0,3
166937,225986,--,0.924,0.308,-0.205,0.0,0,0.0,3
166932,225986,--,0.924,0.308,-0.205,0.0,0,0.0,3
166939,225978,--,0.927,0.308,-0.205,0.0,0,0.0,3
166938,225968,--,0.927,0.308,-0.204,0.0,0,0.0,3
166919,225971,--,0.927,0.308,-0.204,0.0,0,0.0,3
166928,225961,--,0.926,0.308,-0.204,0.0,0,0.0,3
166927,225961,--,0.926,0.308,-0.204,0.0,0,0.0,3
166930,225957,--,0.926,0.308,-0.204,0.0,0,0.0,3
166953,225973,--,0.926,0.308,-0.204,0.0,0,0.0,3
166978,225974,--,0.926,0.308,-0.205,0.0,0,0.0,3
166993,225997,--,0.926,0.308,-0.205,0.0,0,0.0,3
167013,225994,--,0.929,0.307,-0.203,0.0,0,0.0,3
167023,226001,--,0.929,0.307,-0.203,0.0,0,0.0,3
167023,225993,--,0.929,0.307,-0.203,0.0,0,0.0,3
167016,225989,--,0.929,0.307,-0.203,0.0,0,0.0,3
