IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
206115,172061,--,-0.005,0.115,-1.067,0.0,0,0.0,1
206476,172228,--,0.000,0.120,-1.084,0.0,0,0.0,1
206872,172386,--,-0.041,0.103,-1.055,0.0,0,0.0,1
207211,172535,--,-0.113,0.069,-1.037,0.0,0,0.0,1
207415,172625,--,-0.114,0.054,-1.023,0.0,0,0.0,1
207484,172638,--,-0.110,0.049,-1.021,0.0,0,0.0,1
207495,172647,--,-0.132,0.035,-1.046,0.0,0,0.0,1
207512,172645,--,-0.116,0.032,-1.054,0.0,0,0.0,1
207528,172665,--,-0.086,0.045,-1.034,0.0,0,0.0,1
221404,188647,--,-0.044,0.052,-0.993,0.0,0,0.0,1
237782,204161,--,-0.009,0.055,-0.976,0.0,0,0.0,1
242083,203831,--,0.005,0.075,-0.989,0.0,0,0.0,1
242108,203851,--,0.000,0.103,-0.997,0.0,0,0.0,1
242129,203862,--,0.000,0.120,-1.007,0.0,0,0.0,1
242196,203903,--,-0.002,0.115,-1.010,0.0,0,0.0,1
242240,203937,--,0.000,0.108,-1.012,0.0,0,0.0,1
242239,203967,--,0.003,0.110,-1.006,0.0,0,0.0,1
242243,203995,--,0.003,0.115,-0.995,0.0,0,0.0,1
242285,204037,--,0.004,0.118,-0.986,0.0,0,0.0,1
242360,204099,--,-0.002,0.116,-0.981,0.0,0,0.0,1
242500,204186,--,0.000,0.126,-0.991,0.0,0,0.0,1
242695,204309,--,0.012,0.134,-0.999,0.0,0,0.0,1
242980,204479,--,0.018,0.129,-1.001,0.0,0,0.0,1
243382,204683,--,0.020,0.125,-1.004,0.0,0,0.0,1
243880,204975,--,0.022,0.123,-1.002,0.0,0,0.0,1
244513,205366,--,0.020,0.120,-0.992,0.0,0,0.0,1
245299,205866,--,0.020,0.119,-0.986,0.0,0,0.0,1
246064,206397,--,0.020,0.116,-0.983,0.0,0,0.0,1
246688,206958,--,0.014,0.116,-0.985,0.0,0,0.0,1
247514,207558,--,0.007,0.126,-1.005,0.0,0,0.0,1
248192,208075,--,0.000,0.131,-1.018,0.0,0,0.0,1
248763,208484,--,-0.001,0.123,-1.014,0.0,0,0.0,1
249335,208903,--,-0.010,0.118,-1.006,0.0,0,0.0,1
249895,209319,--,-0.025,0.111,-0.996,0.0,0,0.0,1
250414,209684,--,-0.031,0.108,-1.008,0.0,0,0.0,1
250902,210014,--,-0.032,0.111,-1.021,0.0,0,0.0,1
251440,210326,--,-0.038,0.110,-1.014,0.0,0,0.0,1
251999,210665,--,-0.039,0.104,-1.010,0.0,0,0.0,1
252546,210997,--,-0.027,0.094,-1.005,0.0,0,0.0,1
253039,211347,--,-0.023,0.090,-1.003,0.0,0,0.0,1
253366,211627,--,-0.028,0.096,-1.011,0.0,0,0.0,1
253579,211908,--,-0.024,0.102,-1.013,0.0,0,0.0,1
253688,212191,--,-0.010,0.098,-1.006,0.0,0,0.0,1
253817,212405,--,-0.002,0.091,-1.002,0.0,0,0.0,1
253899,212525,--,-0.005,0.092,-1.001,0.0,0,0.0,1
254052,212681,--,-0.006,0.097,-1.003,0.0,0,0.0,1
254273,212898,--,-0.004,0.096,-1.005,0.0,0,0.0,1
254444,213095,--,0.000,0.095,-1.011,0.0,0,0.0,1
254674,212934,--,0.000,0.094,-1.014,0.0,0,0.0,1
254902,213168,--,-0.002,0.084,-1.011,0.0,0,0.0,1
255084,213419,--,0.000,0.074,-1.013,0.0,0,0.0,1
