,0
0,10971
1,10975
2,10967
3,10974
4,10969
5,10976
6,10970
7,10977
8,10979
9,10979
10,10969
11,10959
12,10969
13,10959
14,10970
15,10960
16,10967
17,10970
18,10951
19,10954
20,10970
21,10965
22,10971
23,10962
24,10973
25,10958
26,10979
27,10965
28,10961
29,10944
30,10959
31,10953
32,10959
33,10942
34,10936
35,10934
36,10942
37,10951
38,10950
39,10947
40,10947
41,10955
42,10965
43,10936
44,10955
45,10942
46,10940
47,10947
48,10946
49,10936
50,10949
51,10946
52,10960
53,10941
54,10957
55,10962
56,10953
57,10956
58,10968
59,10944
60,10956
61,10970
62,10965
63,10965
64,10950
65,10955
66,10970
67,10964
68,10961
69,10960
70,10965
71,10971
72,10970
73,10982
74,10975
75,10966
76,10971
77,10967
78,10980
79,10989
80,10971
81,10971
82,10973
83,10979
84,10981
85,10971
86,10972
87,10984
88,10988
89,10993
90,10991
91,10988
92,10986
93,10981
94,10984
95,10986
96,10989
97,10980
98,11010
99,10984
100,10999
101,10998
102,10996
103,11001
104,11005
105,11020
106,10990
107,10997
108,10991
109,10993
110,11010
111,10996
112,11018
113,11007
114,11016
115,11005
116,11010
117,11017
118,11004
119,11012
120,11021
121,11010
122,11022
123,11013
124,11011
125,11016
126,11030
127,11011
128,11012
129,11026
130,11021
131,11026
132,11024
133,11035
134,11022
135,11020
136,11042
137,11041
138,11035
139,11028
140,11026
141,11033
142,11037
143,11031
144,11032
145,11035
146,11047
147,11034
148,11042
149,11042
150,11046
151,11050
152,11052
153,11051
154,11038
155,11044
156,11057
157,11046
158,11045
159,11054
160,11058
161,11047
162,11041
163,11050
164,11074
165,11061
166,11067
167,11039
168,11067
169,11066
170,11061
171,11085
172,11065
173,11066
174,11061
175,11077
176,11062
177,11079
178,11062
179,11063
180,11077
181,11067
182,11071
183,11060
184,11085
185,11066
186,11078
187,11069
188,11066
189,11059
190,11075
191,11087
192,11071
193,11075
194,11069
195,11082
196,11071
197,11075
198,11069
199,11081
200,11049
201,11083
202,11072
203,11084
204,11070
205,11073
206,11058
207,11072
208,11071
209,11070
210,11070
211,11076
212,11071
213,11068
214,11069
215,11075
216,11068
217,11052
218,11079
219,11060
220,11064
221,11063
222,11070
223,11068
224,11078
225,11061
226,11070
227,11067
228,11050
229,11054
230,11051
231,11072
232,11067
233,11066
234,11065
235,11061
236,11056
237,11065
238,11055
239,11059
240,11047
241,11070
242,11054
243,11051
244,11049
245,11048
246,11056
247,11044
248,11048
249,11040
250,11042
251,11041
252,11039
253,11038
254,11039
255,11029
256,11042
257,11039
258,11031
259,11028
260,11020
261,11016
262,11015
263,11009
264,11029
265,11001
266,10994
267,11012
268,10985
269,10989
270,10973
271,10984
272,10973
273,10971
274,10975
275,10964
276,10956
277,10961
278,10953
279,10945
280,10942
281,10945
282,10934
283,10929
284,10905
285,10916
286,10921
287,10917
288,10907
289,10899
290,10895
291,10898
292,10885
293,10893
294,10882
295,10876
296,10882
297,10886
298,10876
299,10869
300,10861
301,10860
302,10854
303,10871
304,10857
305,10847
306,10864
307,10859
308,10829
309,10848
310,10851
311,10843
312,10845
313,10836
314,10844
315,10829
316,10833
317,10825
318,10816
319,10816
320,10817
321,10823
322,10819
323,10811
324,10824
325,10817
326,10795
327,10803
328,10809
329,10802
330,10804
331,10794
332,10792
333,10800
334,10793
335,10773
336,10790
337,10780
338,10795
339,10783
340,10784
341,10813
342,10772
343,10781
344,10770
345,10776
346,10786
347,10793
348,10777
349,10768
350,10789
351,10775
352,10785
353,10784
354,10800
355,10785
356,10785
357,10790
358,10789
359,10784
360,10763
361,10796
362,10788
363,10791
364,10796
365,10794
366,10797
367,10784
368,10796
369,10788
370,10793
371,10795
372,10792
373,10796
374,10802
375,10783
376,10806
377,10800
378,10783
379,10800
380,10793
381,10801
382,10791
383,10805
384,10807
385,10800
386,10799
387,10798
388,10815
389,10813
390,10810
391,10805
392,10794
393,10802
394,10807
395,10801
396,10815
397,10790
398,10795
399,10795
400,10812
401,10787
402,10810
403,10815
404,10786
405,10817
406,10807
407,10807
408,10807
409,10817
410,10811
411,10815
412,10802
413,10808
414,10812
415,10812
416,10812
417,10823
418,10818
419,10809
420,10812
421,10820
422,10813
423,10810
424,10814
425,10809
426,10826
427,10823
428,10825
429,10822
430,10818
431,10834
432,10826
433,10831
434,10820
435,10833
436,10822
437,10823
438,10826
439,10831
440,10845
441,10833
442,10833
443,10838
444,10848
445,10841
446,10856
447,10843
448,10845
449,10839
450,10834
451,10855
452,10842
453,10872
454,10859
455,10837
456,10841
457,10848
458,10848
459,10843
460,10853
461,10871
462,10844
463,10860
464,10854
465,10881
466,10867
467,10860
468,10849
469,10849
470,10847
471,10860
472,10871
473,10859
474,10866
475,10844
476,10874
477,10868
478,10860
479,10858
480,10857
481,10863
482,10883
483,10866
484,10880
485,10869
486,10869
487,10876
488,10867
489,10867
490,10866
491,10895
492,10876
493,10883
494,10885
495,10872
496,10894
497,10882
498,10888
499,10887
500,10883
501,10870
502,10879
503,10895
504,10868
505,10884
506,10883
507,10893
508,10891
509,10898
510,10889
511,10870
512,10891
513,10885
514,10901
515,10883
516,10874
517,10895
518,10879
519,10904
520,10905
521,10889
522,10896
523,10899
524,10913
525,10897
526,10897
527,10901
528,10880
529,10890
530,10895
531,10883
532,10895
533,10890
534,10898
535,10889
536,10904
537,10903
538,10900
539,10902
540,10905
541,10918
542,10902
543,10905
544,10895
545,10904
546,10905
547,10904
548,10904
549,10916
550,10909
551,10892
552,10905
553,10900
554,10900
555,10905
556,10914
557,10912
558,10904
559,10919
560,10907
561,10910
562,10915
563,10896
564,10912
565,10917
566,10915
567,10916
568,10907
569,10924
570,10933
571,10914
572,10922
573,10911
574,10922
575,10925
576,10918
577,10937
578,10921
579,10915
580,10914
581,10924
582,10925
583,10939
584,10913
585,10931
586,10920
587,10923
588,10919
589,10939
590,10934
591,10922
592,10931
593,10942
594,10924
595,10918
596,10930
597,10938
598,10933
599,10925
600,10934
601,10939
602,10916
603,10931
604,10936
605,10936
606,10923
607,10929
608,10935
609,10938
610,10933
611,10942
612,10930
613,10924
614,10924
615,10925
616,10936
617,10910
618,10925
619,10924
620,10916
621,10922
622,10917
623,10916
624,10908
625,10910
626,10903
627,10885
628,10893
629,10889
630,10909
631,10883
632,10884
633,10884
634,10885
635,10877
636,10867
637,10867
638,10842
639,10846
640,10840
641,10840
642,10853
643,10839
644,10841
645,10828
646,10813
647,10827
648,10814
649,10811
650,10812
651,10796
652,10808
653,10808
654,10798
655,10788
656,10799
657,10803
658,10794
659,10785
660,10788
661,10788
662,10785
663,10787
664,10765
665,10772
666,10783
667,10775
668,10769
669,10768
670,10757
671,10767
672,10752
673,10770
674,10765
675,10763
676,10755
677,10758
678,10772
679,10765
680,10750
681,10751
682,10763
683,10754
684,10754
685,10753
686,10754
687,10753
688,10755
689,10766
690,10734
691,10739
692,10732
693,10739
694,10740
695,10732
696,10744
697,10740
698,10753
699,10746
700,10748
701,10744
702,10749
703,10752
704,10738
705,10762
706,10754
707,10744
708,10755
709,10759
710,10754
711,10761
712,10757
713,10761
714,10746
715,10754
716,10756
717,10768
718,10767
719,10757
720,10762
721,10764
722,10773
723,10775
724,10770
725,10784
726,10764
727,10780
728,10777
729,10776
730,10774
731,10777
732,10778
733,10779
734,10776
735,10774
736,10786
737,10778
738,10777
739,10789
740,10780
741,10788
742,10773
743,10799
744,10791
745,10798
746,10809
747,10787
748,10778
749,10798
750,10806
751,10791
752,10782
753,10822
754,10791
755,10797
756,10799
757,10796
758,10792
759,10799
760,10779
761,10811
762,10787
763,10809
764,10812
765,10800
766,10806
767,10803
768,10797
769,10806
770,10810
771,10807
772,10823
773,10812
774,10815
775,10822
776,10829
777,10829
778,10813
779,10828
780,10809
781,10826
782,10812
783,10823
784,10805
785,10827
786,10815
787,10822
788,10825
789,10820
790,10838
791,10834
792,10831
793,10843
794,10838
795,10845
796,10829
797,10832
798,10840
799,10838
800,10842
801,10852
802,10850
803,10856
804,10837
805,10848
806,10870
807,10846
808,10874
809,10846
810,10883
811,10844
812,10868
813,10867
814,10859
815,10875
816,10883
817,10876
818,10883
819,10872
820,10877
821,10886
822,10880
823,10878
824,10901
825,10884
826,10906
827,10891
828,10889
829,10914
830,10895
831,10896
832,10897
833,10916
834,10901
835,10899
836,10902
837,10924
838,10911
839,10907
840,10902
841,10939
842,10924
843,10932
844,10912
845,10938
846,10928
847,10937
848,10945
849,10940
850,10915
851,10936
852,10916
853,10934
854,10925
855,10944
856,10936
857,10945
858,10953
859,10944
860,10943
861,10946
862,10953
863,10939
864,10957
865,10959
866,10959
867,10969
868,10964
869,10969
870,10956
871,10973
872,10966
873,10951
874,10970
875,10955
876,10957
877,10993
878,10974
879,10967
880,10980
881,10978
882,10978
883,10967
884,10984
885,10981
886,10978
887,10984
888,10973
889,10982
890,10988
891,10991
892,10979
893,10993
894,10984
895,10978
896,10989
897,10983
898,11004
899,11002
900,11001
901,10999
902,11007
903,11001
904,11010
905,11009
906,11009
907,11000
908,11003
909,11015
910,11016
911,11021
912,11017
913,11015
914,11007
915,11010
916,11016
917,10999
918,11022
919,11015
920,11003
921,11017
922,11030
923,11018
924,11036
925,11015
926,11034
927,11026
928,11044
929,11044
930,11039
931,11028
932,11032
933,11039
934,11030
935,11048
936,11041
937,11046
938,11049
939,11055
940,11054
941,11062
942,11041
943,11056
944,11045
945,11057
946,11050
947,11057
948,11059
949,11047
950,11062
951,11038
952,11043
953,11029
954,11045
955,11060
956,11050
957,11032
958,11050
959,11016
960,11031
961,11021
962,11027
963,11032
964,11032
965,11024
966,11022
967,11011
968,11008
969,11008
970,11016
971,11018
972,11012
973,11004
974,11017
975,11016
976,11015
977,11006
978,11009
979,10999
980,11000
981,11010
982,10993
983,10998
984,10985
985,11000
986,10996
987,10988
988,10984
989,10977
990,10990
991,11005
992,10984
993,11003
994,11002
995,10994
996,10972
997,10983
998,10989
999,10991
1000,10973
1001,10990
1002,10986
1003,10987
1004,10982
1005,10966
1006,10994
1007,11004
1008,10986
1009,11004
1010,10983
1011,10972
1012,10984
1013,10986
1014,10985
1015,10988
1016,10971
1017,11003
1018,10988
1019,10980
1020,10989
1021,10990
1022,10987
1023,10978
1024,10997
1025,10994
1026,10989
1027,10990
1028,10984
1029,10998
1030,10992
1031,10981
1032,10984
1033,10992
1034,11004
1035,11012
1036,10995
1037,10983
1038,11006
1039,10996
1040,10994
1041,11007
1042,11015
1043,11000
1044,11007
1045,11004
1046,11018
1047,11013
1048,11016
1049,11016
1050,11005
1051,11011
1052,11003
1053,11017
1054,11014
1055,11027
1056,11016
1057,11033
1058,11008
1059,11017
1060,11032
1061,11008
1062,11023
1063,11034
1064,11010
1065,11028
1066,11032
1067,11037
1068,11014
1069,11013
1070,11039
1071,11021
1072,11039
1073,11028
1074,11032
1075,11037
1076,11049
1077,11030
1078,11027
1079,11055
1080,11020
1081,11023
1082,11027
1083,11045
1084,11047
1085,11029
1086,11030
1087,11038
1088,11034
1089,11048
1090,11050
1091,11039
1092,11059
1093,11048
1094,11042
1095,11051
1096,11037
1097,11042
1098,11039
1099,11060
1100,11053
1101,11048
1102,11066
1103,11063
1104,11051
1105,11038
1106,11056
1107,11052
1108,11049
1109,11063
1110,11057
1111,11067
1112,11064
1113,11053
1114,11058
1115,11049
1116,11068
1117,11071
1118,11075
1119,11075
1120,11066
1121,11064
1122,11064
1123,11061
1124,11049
1125,11069
1126,11077
1127,11067
1128,11081
1129,11066
1130,11078
1131,11074
1132,11078
1133,11083
1134,11093
1135,11074
1136,11087
1137,11084
1138,11080
1139,11078
1140,11078
1141,11086
1142,11094
1143,11091
1144,11092
1145,11100
1146,11096
1147,11091
1148,11094
1149,11094
1150,11086
1151,11085
1152,11089
1153,11101
1154,11098
1155,11106
1156,11109
1157,11110
1158,11104
1159,11101
1160,11104
1161,11112
1162,11097
1163,11121
1164,11111
1165,11103
1166,11109
1167,11116
1168,11122
1169,11143
1170,11118
1171,11125
1172,11124
1173,11122
1174,11145
1175,11148
1176,11125
1177,11145
1178,11144
1179,11144
1180,11150
1181,11140
1182,11134
1183,11128
1184,11152
1185,11156
1186,11138
1187,11155
1188,11167
1189,11145
1190,11152
1191,11161
1192,11170
1193,11171
1194,11156
1195,11154
1196,11168
1197,11170
1198,11156
