,0
0,12207
1,12206
2,12204
3,12212
4,12217
5,12192
6,12219
7,12196
8,12227
9,12219
10,12234
11,12221
12,12220
13,12219
14,12241
15,12235
16,12237
17,12227
18,12235
19,12242
20,12240
21,12259
22,12259
23,12259
24,12257
25,12235
26,12258
27,12250
28,12258
29,12263
30,12271
31,12254
32,12264
33,12280
34,12264
35,12286
36,12258
37,12265
38,12257
39,12283
40,12289
41,12284
42,12291
43,12280
44,12287
45,12282
46,12297
47,12279
48,12301
49,12307
50,12301
51,12304
52,12299
53,12307
54,12319
55,12312
56,12297
57,12314
58,12315
59,12323
60,12309
61,12313
62,12316
63,12314
64,12331
65,12311
66,12311
67,12324
68,12322
69,12327
70,12331
71,12321
72,12335
73,12328
74,12342
75,12327
76,12336
77,12334
78,12327
79,12335
80,12340
81,12339
82,12335
83,12347
84,12338
85,12326
86,12339
87,12351
88,12348
89,12326
90,12350
91,12345
92,12342
93,12344
94,12346
95,12347
96,12350
97,12351
98,12341
99,12366
100,12348
101,12355
102,12360
103,12372
104,12356
105,12349
106,12356
107,12362
108,12366
109,12361
110,12361
111,12359
112,12350
113,12353
114,12348
115,12368
116,12349
117,12377
118,12386
119,12363
120,12365
121,12366
122,12362
123,12354
124,12380
125,12381
126,12376
127,12371
128,12375
129,12369
130,12375
131,12390
132,12378
133,12375
134,12370
135,12392
136,12366
137,12369
138,12392
139,12373
140,12373
141,12384
142,12381
143,12388
144,12381
145,12383
146,12386
147,12365
148,12390
149,12384
150,12374
151,12387
152,12397
153,12399
154,12383
155,12378
156,12389
157,12376
158,12387
159,12391
160,12389
161,12380
162,12404
163,12387
164,12404
165,12387
166,12405
167,12399
168,12407
169,12398
170,12408
171,12392
172,12398
173,12399
174,12399
175,12396
176,12402
177,12400
178,12407
179,12407
180,12388
181,12408
182,12400
183,12414
184,12414
185,12410
186,12417
187,12411
188,12411
189,12411
190,12421
191,12403
192,12410
193,12409
194,12417
195,12424
196,12407
197,12408
198,12403
199,12403
200,12404
201,12415
202,12416
203,12409
204,12420
205,12413
206,12431
207,12419
208,12418
209,12410
210,12414
211,12420
212,12414
213,12408
214,12423
215,12421
216,12412
217,12413
218,12417
219,12406
220,12415
221,12418
222,12416
223,12412
224,12403
225,12407
226,12401
227,12414
228,12414
229,12412
230,12413
231,12420
232,12416
233,12418
234,12418
235,12405
236,12425
237,12424
238,12426
239,12424
240,12406
241,12414
242,12412
243,12418
244,12404
245,12410
246,12415
247,12407
248,12419
249,12404
250,12404
251,12411
252,12428
253,12417
254,12415
255,12412
256,12412
257,12421
258,12402
259,12405
260,12405
261,12423
262,12415
263,12411
264,12405
265,12418
266,12421
267,12416
268,12402
269,12406
270,12418
271,12404
272,12406
273,12421
274,12401
275,12408
276,12411
277,12422
278,12408
279,12398
280,12392
281,12406
282,12400
283,12384
284,12407
285,12416
286,12402
287,12385
288,12411
289,12410
